Price,Area_m2,Building_Age,Floor,City,District,Neighborhood,Room,Living_Room
54000,80,10,3,İzmir,Karşıyaka,Yalı Mah.,2,1
23000,116,3,3,İzmir,Torbalı,Pancar Mah.,2,0
60000,140,0,5,İzmir,Karşıyaka,Goncalar Mah.,3,1
25000,65,6,3,İzmir,Buca,Atatürk Mah.,2,1
30000,135,30,3,İzmir,Buca,Vali Rahmi Bey Mah.,3,1
42000,130,30,2,İzmir,Çiğli,Evka - 2 Mah.,3,1
50000,185,30,2,İzmir,Çiğli,Evka - 2 Mah.,5,1
38000,115,0,3,İzmir,Karabağlar,Bahar Mah.,3,1
40000,100,30,3,İzmir,Karabağlar,Basın Sitesi Mah.,2,1
45000,80,46,1,İzmir,Karabağlar,Esenyalı Mah.,2,1
32000,80,2,5,İzmir,Buca,Şirinkapı Mah.,2,1
16000,95,25,3,İzmir,Torbalı,Cumhuriyet Mah.,2,1
23000,125,15,2,İzmir,Ödemiş,Atatürk Mah.,2,1
21000,80,21,5,İzmir,Buca,İzkent Mah.,2,1
27000,100,40,2,İzmir,Bornova,Kazımdirik Mah.,3,1
25000,110,30,4,İzmir,Bornova,Kazımdirik Mah.,3,1
47500,85,31,1,İzmir,Karşıyaka,Aksoy Mah.,2,1
50000,120,37,2,İzmir,Bornova,Kazımdirik Mah.,3,1
150000,265,31,6,İzmir,Konak,Kültür Mah.,4,1
25000,85,3,5,İzmir,Kemalpaşa,Armutlu Hürriyet Mah.,2,1
250000,350,2,2,İzmir,Çiğli,Sasallı Merkez Mah.,5,1
52000,130,16,3,İzmir,Çiğli,Yeni Mahalle Mah.,3,1
37500,75,1,0,İzmir,Kemalpaşa,Ulucak Mustafa Kemal Atatürk Mah.,2,1
40000,95,6,2,İzmir,Balçova,Onur Mah.,2,1
23000,120,45,0,İzmir,Konak,Atilla Mah.,2,1
32000,125,11,5,İzmir,Karşıyaka,Fikri Altay Mah.,3,1
55000,150,6,2,İzmir,Seferihisar,Düzce Mah.,3,1
64000,96,0,2,İzmir,Konak,Umurbey Mah.,2,1
16000,110,31,1,İzmir,Karşıyaka,Latife Hanım Mah.,3,1
32000,100,40,4,İzmir,Karabağlar,Üçkuyular Mah.,2,1
41000,130,5,3,İzmir,Karşıyaka,Zübeyde Hanım Mah.,3,1
20000,45,2,3,İzmir,Menemen,İnönü Mah.,1,1
23500,125,21,2,İzmir,Bayraklı,Muhittin Erener Mah.,3,1
27000,120,26,2,İzmir,Buca,Adatepe Mah.,3,1
40000,95,10,2,İzmir,Konak,Atilla Mah.,2,1
130000,260,16,2,İzmir,Seferihisar,Ulamış Mah.,3,1
30000,90,4,1,İzmir,Karabağlar,Refet Bele Mah.,2,1
28000,50,11,7,İzmir,Karşıyaka,İnönü Mah.,1,1
110000,250,20,8,İzmir,Bornova,Erzene Mah.,4,1
33000,95,10,1,İzmir,Bornova,Ergene Mah.,1,1
45000,85,3,2,İzmir,Seferihisar,Kavakdere Mah.,2,1
34000,62,12,2,İzmir,Bornova,Mevlana Mah.,1,1
38000,90,26,2,İzmir,Gaziemir,Yeşil Mah.,2,1
27500,85,5,0,İzmir,Çiğli,Şirintepe Mah.,2,1
78000,134,20,9,İzmir,Karşıyaka,Yalı Mah.,3,1
33000,85,30,1,İzmir,Karabağlar,Üçkuyular Mah.,2,1
27000,90,35,5,İzmir,Bornova,Kazımdirik Mah.,2,1
26000,50,3,1,İzmir,Seferihisar,Hıdırlık Mah.,1,1
49000,80,6,1,İzmir,Karşıyaka,Bostanlı Mah.,2,1
20500,55,2,4,İzmir,Seferihisar,Camikebir Mah.,1,1
30000,120,26,4,İzmir,Karabağlar,Bahçelievler Mah.,3,1
26000,138,37,3,İzmir,Karabağlar,Bahçelievler Mah.,3,1
18000,65,5,0,İzmir,Bayraklı,Çiçek Mah.,1,1
55000,80,4,3,İzmir,Karşıyaka,Aksoy Mah.,2,1
25000,75,8,2,İzmir,Buca,Hürriyet Mah.,2,1
22000,135,21,2,İzmir,Bergama,Zafer Mah.,3,1
20000,52,5,2,İzmir,Buca,Kozağaç Mah.,1,1
50000,120,31,3,İzmir,Karşıyaka,Bostanlı Mah.,3,1
36000,110,26,0,İzmir,Bornova,Erzene Mah.,3,1
35000,130,31,2,İzmir,Konak,Kılıç Reis Mah.,3,1
37000,125,28,3,İzmir,Çiğli,Ataşehir Mah.,3,1
30000,50,1,2,İzmir,Çeşme,Ovacık Mah.,1,1
32000,115,40,2,İzmir,Konak,Çankaya Mah.,3,1
25000,100,31,5,İzmir,Karşıyaka,Bahçelievler Mah.,2,1
30000,100,31,4,İzmir,Buca,Vali Rahmi Bey Mah.,2,1
35000,62,5,2,İzmir,Karşıyaka,Bahçelievler Mah.,2,1
40000,90,2,1,İzmir,Karşıyaka,Dedebaşı Mah.,2,1
37000,150,5,2,İzmir,Seferihisar,Kavakdere Mah.,3,1
40000,115,0,2,İzmir,Karabağlar,Bahar Mah.,3,1
28000,75,33,3,İzmir,Karşıyaka,Bahariye Mah.,2,1
35000,125,26,3,İzmir,Balçova,Onur Mah.,3,1
29000,110,31,1,İzmir,Bornova,Kazımdirik Mah.,3,1
33000,85,31,5,İzmir,Karşıyaka,Aksoy Mah.,2,1
30000,82,42,2,İzmir,Karabağlar,Esenyalı Mah.,3,1
25000,85,6,2,İzmir,Buca,Kozağaç Mah.,2,1
37000,157,29,5,İzmir,Karşıyaka,Şemikler Mah.,3,1
45000,95,26,2,İzmir,Dikili,Cumhuriyet Mah.,2,1
30000,90,4,2,İzmir,Çiğli,Ataşehir Mah.,2,1
32000,90,35,3,İzmir,Karşıyaka,Bahariye Mah.,2,1
35000,130,30,5,İzmir,Karabağlar,Üçkuyular Mah.,3,1
30000,110,40,4,İzmir,Karabağlar,Esenyalı Mah.,3,1
72000,140,31,6,İzmir,Konak,Kültür Mah.,3,1
23000,50,6,2,İzmir,Buca,Atatürk Mah.,1,1
35000,63,0,3,İzmir,Çiğli,Ataşehir Mah.,1,1
35000,120,31,4,İzmir,Karşıyaka,Bostanlı Mah.,3,1
35000,90,8,1,İzmir,Bornova,Kazımdirik Mah.,2,1
37000,95,6,1,İzmir,Karşıyaka,Şemikler Mah.,2,1
20000,90,21,4,İzmir,Menemen,Kasımpaşa Mah.,2,1
20000,180,6,2,İzmir,Bergama,Okçular Mah.,3,1
26000,70,4,1,İzmir,Buca,Yaylacık Mah.,2,1
34000,110,5,1,İzmir,Karabağlar,Vatan Mah.,3,1
50000,120,6,0,İzmir,Seferihisar,Sığacık Mah.,3,1
30000,120,21,2,İzmir,Karabağlar,Bozyaka Mah.,3,1
40000,300,3,2,İzmir,Urla,İçmeler Mah.,2,1
20000,95,25,0,İzmir,Bayraklı,Tepekule Mah.,2,1
27000,86,39,5,İzmir,Karşıyaka,Bahçelievler Mah.,3,1
29000,120,31,0,İzmir,Konak,Mithatpaşa Mah.,3,1
30000,95,30,4,İzmir,Balçova,Korutürk Mah.,2,1
28000,65,37,2,İzmir,Konak,Alsancak Mah.,2,1
23250,45,2,2,İzmir,Çiğli,Balatçık Mah.,1,1
80000,280,11,2,İzmir,Menemen,Yahşelli Mah.,5,1
25000,100,21,1,İzmir,Bornova,İnönü Mah.,2,1
25000,90,5,2,İzmir,Karabağlar,Bozyaka Mah.,2,1
25000,90,25,0,İzmir,Karabağlar,Bahçelievler Mah.,3,0
25000,150,15,2,İzmir,Torbalı,Torbalı Mah.,3,1
24000,70,12,1,İzmir,Buca,Adatepe Mah.,2,1
70000,185,31,4,İzmir,Konak,Kültür Mah.,3,1
25000,95,32,1,İzmir,Karşıyaka,Donanmacı Mah.,2,1
25000,130,30,1,İzmir,Selçuk,Cumhuriyet Mah.,2,1
30000,125,4,3,İzmir,Karabağlar,Ali Fuat Erden Mah.,2,1
18000,95,21,2,İzmir,Buca,Atatürk Mah.,2,1
