"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-sep 4","listingCard__spec-label 5","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","wp-btn-label","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-karsiyaka-yali-kiralik/daire/21024-12054","1 / 33","54.000","08/09/2026","Mavişehir Soyak Optimus Sitesinde Full Eşyalı 2+1 Kiralık Daire","Kiralık Daire","2 + 1","80 m²","10 Yaşında","·","Kat","3. Kat","İzmir / Karşıyaka / Yalı Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/2/0/1/2/0/31ed9958-8302-430a-ad93-dfdc1a2f8dd5.jpg","Turyap Ataşehir Fil","WhatsApp",""
"https://www.hepsiemlak.com/izmir-torbali-pancar-kiralik/daire/124859-336","1 / 27","23.000","08/09/2026","Pancar İzban Yakını Kiralık 2+1 Daire","Kiralık Daire","2 + 0","116 m²","3 Yaşında","·","Kat","Ara Kat","İzmir / Torbalı / Pancar Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/5/8/4/2/1/2fcba43c-9664-4dd1-8a54-e3b450a3d7f2.jpg","Güngör Emlak","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karsiyaka-goncalar-kiralik/daire/147149-318","1 / 35","60.000","07/09/2026","Karşıyaka'da Kiralık 3+1 Sıfır Otoparklı Ebeveyn Banyolu Daire","Kiralık Daire","3 + 1","140 m²","Sıfır Bina","·","Kat","5. Kat","İzmir / Karşıyaka / Goncalar Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/4/1/7/4/1/0ad22e03-d335-47ae-88c9-78ea6dc815da.jpg","Turyap Karşıyaka Girne","WhatsApp",""
"https://www.hepsiemlak.com/izmir-buca-ataturk-kiralik/daire/170300-6","1 / 26","25.000","25/07/2026","Atatürk Mah.Kadın Doğumhastanesi Yanı Kiralık 2+1 D.Gazlı Daire","Kiralık Daire","2 + 1","65 m²","6 Yaşında","·","Kat","3. Kat","İzmir / Buca / Atatürk Mah.","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/7/4/6/9/8/6/4/1783584603-497963-46896479.jpeg","Elite Gayrimenkul","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/3/0/7/1/516b3ef7-f4de-4322-9065-39b892a8efbb.jpg"
"https://www.hepsiemlak.com/izmir-buca-vali-rahmi-bey-kiralik/daire/146551-83","1 / 9","30.000","04/09/2026","İzmir Buca Vali Rahmi Bey Mah' De  Doğalgazlı 3+1 Kiralık Daire","Kiralık Daire","3 + 1","135 m²","30 Yaşında","·","Kat","Ara Kat","İzmir / Buca / Vali Rahmi Bey Mah.","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/4/4/7/3/1/7/4/1786957320700-47137449.jpg","Kızılateş Gayrimenkul","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/5/5/6/4/1/2794656c-2f23-4be3-ac74-1044c4be5f53.jpg"
"https://www.hepsiemlak.com/izmir-cigli-evka-2-kiralik/mustakil-ev/171529-2","1 / 41","42.000","04/09/2026","Meyve Ağaçlarının İçinde, Bahçeli, Merkezi Konumda,Huzurlu,  3+1  Kiralık Müstakil Konut","Kiralık Müstakil Ev","3 + 1","130 m²","30 Yaşında","·","Kat","","İzmir / Çiğli / Evka - 2 Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/9/5/4/2/7/4/2924d6b4-9c24-4836-991d-2eae8e98f033.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-cigli-evka-2-kiralik/mustakil-ev/171529-5","1 / 30","50.000","09/09/2026","Evka2 'de Bakımlı,  Bahçeli, Kapalı Mutfak  5+1 Triplex Müstakil Kiralık","Kiralık Müstakil Ev","5 + 1","185 m²","30 Yaşında","·","Kat","","İzmir / Çiğli / Evka - 2 Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/5/0/5/2/7/4/64aad825-d0fb-45c6-a73d-73f5976ef7aa.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karabaglar-bahar-kiralik/daire/24845-1968","1 / 57","38.000","10/09/2026","Antre Emlak'tan Kiralık Bozyaka Hastane Üstü Doğalgazlı,Asansörlü,Otoparklı 3+1 Sıfır Daire","Kiralık Daire","3 + 1","115 m²","Sıfır Bina","·","Kat","3. Kat","İzmir / Karabağlar / Bahar Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/3/1/3/0/7/4/394972b7-5aab-4541-9473-c8a2f68bbe38.jpg","Antre Emlak","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/4/8/4/2/0/d4a1a04e-d60b-493f-aa22-ffd008f70fb5.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-basin-sitesi-kiralik/daire/21655-3702","1 / 20","40.000","09/09/2026","Hatay Metro Yakını Full Eşyalı Kiralık Daire","Kiralık Daire","2 + 1","100 m²","30 Yaşında","·","Kat","3. Kat","İzmir / Karabağlar / Basın Sitesi Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/5/8/4/7/2/7/4/1788984284989-47274850.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karabaglar-esenyali-kiralik/daire/34836-1047","1 / 24","45.000","09/09/2026","Göztepe Metro Yakını Asmaçatı Gayrimenkul'den Eşyalı Kiralık Daire","Kiralık Daire","2 + 1","80 m²","46 Yaşında","·","Kat","1. Kat","İzmir / Karabağlar / Esenyalı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/9/5/4/9/6/4/0f5d93b2-ed38-4903-9e95-2f0afc63d5cd.jpg","","WhatsApp",""
