"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-sep 4","listingCard__spec-label 5","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","wp-btn-label","listingCard__owner-name","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/mugla-dalaman-altintas-kiralik/daire/117249-491","1 / 19","34.000","28/08/2026","Altıntas Mahallesinde 2+1 Kapalı Mutfak 105 M2 Kiralık","Kiralık Daire","2 + 1","105 m²","Sıfır Bina","·","Kat","Yüksek Giriş","Muğla / Dalaman / Altıntas Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/4/2/7/1/1/97eebd87-f9fd-4ab8-afad-d02e54a26fb6.jpg","Ata Gayrimenkul","WhatsApp","","",""
"https://www.hepsiemlak.com/mugla-fethiye-pazaryeri-kiralik/daire/159960-101","1 / 35","30.000","07/09/2026","Dy Gayrimenkul'den Şehir Merkezinde Kiralık Eşyasız Daire","Kiralık Daire","2 + 1","90 m²","11 Yaşında","·","Kat","2. Kat","Muğla / Fethiye / Pazaryeri Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/9/2/2/7/4/4/bcee8b3c-102c-45d1-a72e-0d57da72b373.jpg","Derya Yetkin Gayrimenkul Danışmanlık Ve Yatırım","WhatsApp","Derya
                  Yetkin","",""
"https://www.hepsiemlak.com/mugla-milas-gulluk-kiralik/villa/1757-4395","1 / 41","150.000","21/07/2026","Bodrum Güllük Yaşam Konakları Sitesinde Kiralık İkiz Villa","Kiralık Villa","4 + 1","174 m²","Sıfır Bina","·","Kat","","Muğla / Milas / Güllük Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/5/7/1/0/0/426c89c1-4ab1-4f9e-8587-47cbe849b014.jpg","Remax Alkent","WhatsApp","","",""
"https://www.hepsiemlak.com/mugla-fethiye-foca-kiralik/daire/98827-25","1 / 24","37.500","08/09/2026","Filo' Dan Foça Merkezde 2+1 Havuz' Lu Full Eşyalı Uzun Dönem Daire","Kiralık Daire","2 + 1","85 m²","7 Yaşında","·","Kat","Çatı Katı","Muğla / Fethiye / Foça Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/2/6/6/2/7/4/b004892e-f708-4f5f-a2f1-728629a98d2f.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/mugla-marmaris-camdibi-kiralik/villa/135124-306","1 / 18","120.000","31/08/2026","Marmaris Merkezde Sıfır Çok Şık Kiralık Villa","Kiralık Villa","4 + 1","240 m²","Sıfır Bina","·","Kat","","Muğla / Marmaris / Çamdibi Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/6/4/0/2/7/4/4b3ef6a7-43cb-4e42-9aee-2f0acf419e0c.jpg","Dıamond48 Real Estate","WhatsApp","Şule
                  Uzuntepe","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/6/5/5/1/6/3/a0256dff-84a5-4d3a-a3a2-71f782cfaa05.jpg",""
"https://www.hepsiemlak.com/mugla-fethiye-yeni-kiralik/daire/155541-72","1 / 10","20.000","07/09/2026","Muğla Fethiye Foça Da 1+1 Daire","Kiralık Daire","1 + 1","50 m²","20 Yaşında","·","Kat","Ara Kat","Muğla / Fethiye / Yeni Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/2/4/1/1/7/4/1786543505784-47114283.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/mugla-bodrum-yenikoy-kiralik/daire/171600-1","1 / 19","65.000","10/09/2026","Bodrum Kiralık Oasis Avm Yakını Düz Girişli Havuzlu Site Bahçeli Yerden Isıtmalı Kış Bahçeli Teraslı","Kiralık Daire","2 + 1","65 m²","19 Yaşında","·","Kat","Bahçe Katı","Muğla / Bodrum / Yeniköy Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/5/6/7/2/7/4/4072a1b3-a813-45c7-8d6a-ba940184553b.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/mugla-fethiye-akarca-kiralik/villa/153705-267","1 / 42","45.000","10/09/2026","Akarca Mahallesi’nde Merkezi Konumda 3+1 Ortak Havuzlu Tripleks Uzun Dönem Kiralık","Kiralık Villa","3 + 1","130 m²","16 Yaşında","·","Kat","","Muğla / Fethiye / Akarca Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/6/9/6/2/7/4/1788941220118-47269612.jpg","Çarşı Emlak","WhatsApp","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/0/7/3/5/1/b579359c-ce88-4964-8511-7262a77cc195.jpg"
"https://www.hepsiemlak.com/mugla-dalaman-atakent-kiralik/daire/139965-536","1 / 37","17.500","10/09/2026","Dalaman Atakent Mahallesi'nde Gazi Bulvarı Üzerinde Kiralık 1+1","Kiralık Daire","1 + 1","60 m²","1 Yaşında","·","Kat","3. Kat","Muğla / Dalaman / Atakent Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/8/9/5/2/7/4/2046551f-f941-4416-8ec7-fa5c89c6ce1b.jpg","Dost Emlak","WhatsApp","Ahmet
                  Kılıç","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/5/6/8/1/9/3/c76391e6-ef9b-4db5-8107-a271b967e641.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/6/9/9/3/1/59c39307-5e08-47b8-afd3-ae92959f52ed.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-eskicesme-kiralik/daire/140202-3056","1 / 51","110.000","10/09/2026","Eskiçeşme'de Havuzlu Sitede Eşyalı 3+1 Kiralık Dubleks","Kiralık Daire","4 + 1","200 m²","10 Yaşında","·","Kat","Yüksek Giriş","Muğla / Bodrum / Eskiçeşme Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/5/4/5/2/7/4/aa7f14fc-15a3-44ad-8b5d-c5ddbbd5c862.jpg","Century21 Begonvill Gayrimenkul","WhatsApp","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/0/2/0/4/1/b8b04b34-a3e6-4982-90d2-2304eafd1493.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-foca-kiralik/daire/97683-1443","1 / 35","50.000","10/09/2026","İlkon'dan Foça'da Nezih Caddede Kiralık 3+1 Geniş Çatı Dubleks","Kiralık Daire","3 + 1","150 m²","6 Yaşında","·","Kat","2. Kat","Muğla / Fethiye / Foça Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/8/8/8/1/7/4/90d657d9-2aaf-47df-8226-e9fb053932e0.jpg","İlkon Gayrimenkul","WhatsApp","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/8/6/7/9/0/5bdf763c-3a64-4a68-a9d3-1bfce183c251.jpg"
