"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","wp-btn-label","he-lazy-image src","listingCard__owner-firm","he-lazy-image src 2"
"https://www.hepsiemlak.com/manisa-sehzadeler-mimar-sinan-kiralik/daire/22228-11419","1 / 27","26.500","07/09/2026","Akdeniz Emlak'tan Kiralık Şehzadeler İlç Mimar Sinan Mah 2+1 2 Ara Kat Ful Eşyalı Daire","Kiralık Daire","2 + 1","100 m²","24 Yaşında","Ara Kat","Manisa / Şehzadeler / Mimar Sinan Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-ataturk-kiralik/daire/22228-11325","1 / 36","25.000","08/09/2026","Akdeniz Emlak'tan Kiralık Yunus Emre Atatürk Mah 2+1 Daire","Kiralık Daire","2 + 1","90 m²","9 Yaşında","En Üst Kat","Manisa / Yunusemre / Atatürk Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-karaali-kiralik/daire/134090-1299","1 / 30","35.000","08/09/2026","Göral Emlak'tan Villalar Bölgesinde 2+1 Eşyalı Kiralık Daire","Kiralık Daire","2 + 1","85 m²","5 Yaşında","2. Kat","Manisa / Yunusemre / Karaali Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/9/0/4/3/1/d6e5843a-7d62-43b8-970d-7a5a4d03b9ae.jpg","Göral Emlak",""
"https://www.hepsiemlak.com/manisa-akhisar-resat-bey-kiralik/daire/143974-467","1 / 18","16.000","07/09/2026","🏡 Manisa Akhisar Reşatbey Mah. ‼️kaçırılmaz Fırsat Kiralık 2+1 Ara Kat Doğal Gazlı Daire!","Kiralık Daire","2 + 1","115 m²","4 Yaşında","Ara Kat","Manisa / Akhisar / Reşat Bey Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/2/6/4/2/9/6/4/1785655014860-46924623.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-altay-kiralik/daire/159995-145","1 / 10","25.000","27/08/2026","Altay Mahallesinde Eşyalı Kiralık Daire","Kiralık Daire","2 + 1","85 m²","3 Yaşında","1. Kat","Manisa / Turgutlu / Altay Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/3/9/9/1/7/4/f0ab5fa2-7cdc-4a39-aaa7-a1a2cbe28919.jpg","Turgutlu Sinan Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/9/9/9/5/1/0355cf6f-ebc3-4b06-9cfd-d9175425d129.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-cumhuriyet-kiralik/daire/143974-475","1 / 31","22.500","10/09/2026","🏕manisa Yunusemre Cumhuriyet Mah.❗️medikana Hast.Yakın Giriş Kat  Doğalgazlı  Kiralık 2+1 Daire","Kiralık Daire","2 + 1","110 m²","20 Yaşında","Yüksek Giriş","Manisa / Yunusemre / Cumhuriyet Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/9/9/6/2/7/4/1788943112216-47269942.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/139321-807","1 / 25","16.500","10/09/2026","Cumhuriyet İlkokulu Yakınında Sessiz Ve Ferah Kiralık 2+1","Kiralık Daire","2 + 1","90 m²","6 Yaşında","Yüksek Giriş","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/4/8/7/2/7/4/9f9e9586-dc41-452b-95a0-bbf62a8ec32e.jpg","Okatan Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/3/9/3/1/b09c279f-bbc1-422d-9535-979fba33016c.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-kuyualan-kiralik/daire/124272-625","1 / 17","25.000","10/09/2026","Manisa Yunus Emre Kuyualan Mah. Kiralık 3+1 Daire.","Kiralık Daire","3 + 1","117 m²","16 Yaşında","3. Kat","Manisa / Yunusemre / Kuyualan Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/1/7/7/2/7/4/985cdef9-c523-4afc-a5f1-a32633063381.jpg","Turpa Sılver Şirinyer",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/164466-17","1 / 35","16.500","10/09/2026","Manisa Yunusemre Muradiye Mahallesi'nde 2+1 Açık Mutfaklı Kiralık Arakat Daire 16500 Tl","Kiralık Daire","2 + 1","80 m²","6 Yaşında","Ara Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/0/4/3/0/7/4/1785398938294-47034006.jpg","Bahadır Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/6/4/4/6/1/c2b527c0-2edb-4776-8f35-22040ad41398.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/bina/164466-15","1 / 24","18.000","10/09/2026","Manisa Yunusemre Muradiye Mahallesi'nde Eşyalı 1+1 Arakat Daire 18000 Tl","Kiralık Bina","1 + 1","65 m²","5 Yaşında","","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/5/1/8/9/6/4/1784634876347-46981567.jpg","Bahadır Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/6/4/4/6/1/c2b527c0-2edb-4776-8f35-22040ad41398.jpg"
"https://www.hepsiemlak.com/manisa-sehzadeler-peker-kiralik/daire/164179-121","1 / 22","30.000","09/09/2026","Peker Mah. 3+1 Eşyalı Kiralık Daire","Kiralık Daire","3 + 1","115 m²","21 Yaşında","4. Kat","Manisa / Şehzadeler / Peker Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/4/9/5/2/8/6/4/75846a70-67ae-47f6-874b-f107de449d93.jpg","Sel Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/7/1/4/6/1/b45d98f5-a944-434d-abbd-77f000f1b2b3.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-kiralik/daire/154167-596","1 / 34","70.000","10/09/2026","Güzelyurt'un Elit Sitelerinden Atlantis-4'te Lüks Kiralık 3+1 Daire","Kiralık Daire","3 + 1","145 m²","4 Yaşında","4. Kat","Manisa / Yunusemre / Güzelyurt Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/4/0/4/6/6/4/1782122699713-46640487.jpg","Remax İlyada 3","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/6/1/4/5/1/d0e406aa-6799-4fd1-be5a-843336674d01.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-kiralik/daire/94137-1529","1 / 29","23.000","09/09/2026","Akhisar Ulucami Mahallesi'nde 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","Sıfır Bina","3. Kat","Manisa / Akhisar / Ulu Camii Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/8/1/7/2/7/4/1788954425754-47271804.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-yildirim-kiralik/daire/107696-1763","1 / 23","18.500","09/09/2026","Eymen Emlaktan Yıldırım Mh. 3+1 Kiralık Doğalgazlı Daire 🏡","Kiralık Daire","3 + 1","125 m²","18 Yaşında","4. Kat","Manisa / Turgutlu / Yıldırım Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/0/6/0/0/7/4/1784969673125-47006079.jpg","Eymen Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/6/7/0/1/58324a4a-6b71-44f1-95dc-de555770fe7c.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/168486-6","1 / 10","20.000","10/09/2026","Manisa Muradiye 1+1 Eşyalı Kiralık Daire","Kiralık Daire","1 + 1","85 m²","4 Yaşında","3. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/9/4/7/2/7/4/1788987560165-47274979.jpg","Kaçmaz Yunusemre Temsilciliği","https://www.hepsiemlak.com/img/loadings/noImage55-55.png"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/70124-4099","1 / 18","44.000","09/09/2026","Karaali Havuzlu Site İçinde Kiralık 2+1 Zemin Dublex","Kiralık Daire","2 + 1","90 m²","8 Yaşında","Bahçe Katı","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/4/8/5/0/7/4/1785759656-4004822-47058445.jpeg","",""
"https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-kiralik/daire/94137-1528","1 / 25","21.000","09/09/2026","Akhisar Ulucami Mahallesi'nde 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","Sıfır Bina","1. Kat","Manisa / Akhisar / Ulu Camii Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/4/1/9/6/2/7/4/1788936587080-47269141.jpg","",""
"https://www.hepsiemlak.com/manisa-salihli-cumhuriyet-kiralik/daire/0-47274039","1 / 18","26.500","09/09/2026","Sahıbinden Kiralık 3+1 Ara Kat Asansörlü Genış Daıre","Kiralık Daire","3 + 1","135 m²","18 Yaşında","3. Kat","Manisa / Salihli / Cumhuriyet Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/0/4/7/2/7/4/1788969047-7551441-47274039.jpeg","",""
"https://www.hepsiemlak.com/manisa-akhisar-kethuda-kiralik/daire/163781-79","1 / 23","16.000","09/09/2026","Ayverdi Emlak Dan Merkeze Yakın Geniş 2+1 Kiralık Daire","Kiralık Daire","2 + 1","120 m²","16 Yaşında","4. Kat","Manisa / Akhisar / Kethüda Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/2/5/5/2/6/4/1ca18305-3d0c-4a20-b635-ed46a0b75742.jpg","Ayverdi Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/7/3/6/1/829a6d26-0698-41ff-a1eb-29d462199c2d.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-hafsa-sultan-kiralik/daire/70124-4114","1 / 13","35.000","10/09/2026","Merkezefendi Hastanesi Karşısı Kiralık 1+1 Arakat","Kiralık Daire","1 + 1","90 m²","8 Yaşında","3. Kat","Manisa / Yunusemre / Hafsa Sultan Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/9/5/0/2/7/4/1787918650-208983-47205938.jpeg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-kiralik/daire/164179-169","1 / 18","35.000","09/09/2026","Güzelyurt Ontan Sitesinde Kiralık 2+1 Daire","Kiralık Daire","2 + 1","75 m²","6 Yaşında","2. Kat","Manisa / Yunusemre / Güzelyurt Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/6/0/3/2/7/4/94fb7f1d-a388-48c5-aaa8-c82d93b03bbf.jpg","Sel Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/7/1/4/6/1/b45d98f5-a944-434d-abbd-77f000f1b2b3.jpg"
"https://www.hepsiemlak.com/manisa-sehzadeler-peker-kiralik/daire/70124-4118","1 / 10","32.000","10/09/2026","Peker Mahallesi Kiralık 1+1 Eşyalı Daire","Kiralık Daire","1 + 1","55 m²","1 Yaşında","5. Kat","Manisa / Şehzadeler / Peker Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/5/5/7/2/7/4/1789024693-811132-47275575.jpeg","",""
"https://www.hepsiemlak.com/manisa-salihli-kurtulus-kiralik/daire/140101-62","1 / 9","22.000","10/09/2026","Salihli Kurtuluş Mahallesinde Kiralık 2+1 Daire","Kiralık Daire","2 + 1","95 m²","8 Yaşında","4. Kat","Manisa / Salihli / Kurtuluş Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/6/9/2/1/7/4/1786779487-098984-47129624.jpeg","",""
"https://www.hepsiemlak.com/manisa-akhisar-inonu-kiralik/daire/94137-1526","1 / 37","22.000","09/09/2026","Akhisar İnönü Mahallesi'nde 3+1 Kiralık Daire","Kiralık Daire","3 + 1","140 m²","25 Yaşında","4. Kat","Manisa / Akhisar / İnönü Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/8/5/4/2/7/4/1788521660695-47245817.jpg","",""
"https://www.hepsiemlak.com/manisa-sehzadeler-adakale-kiralik/daire/154167-845","1 / 21","30.000","08/09/2026","Sultan Parkı Yanında Tam Eşyalı 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","48 Yaşında","6. Kat","Manisa / Şehzadeler / Adakale Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/6/1/4/5/1/d0e406aa-6799-4fd1-be5a-843336674d01.jpg","Remax İlyada 3",""
"https://www.hepsiemlak.com/manisa-akhisar-hurriyet-kiralik/daire/168888-28","1 / 21","24.000","04/09/2026","Benim Emlaktan Site İçerisinde 2+1kiralık Daire","Kiralık Daire","2 + 1","100 m²","6 Yaşında","7. Kat","Manisa / Akhisar / Hürriyet Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/150932-109","1 / 26","18.000","03/09/2026","Manisa Muradiye Mah. 2+1 K. Mutfak Teraslı Kiralık Daire","Kiralık Daire","2 + 1","100 m²","6 Yaşında","2. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/9/0/5/1/3af6dab2-3190-4d0e-b0c8-9f5d23de1024.jpg","Ege Doğuş Gayrimenkul",""
"https://www.hepsiemlak.com/manisa-akhisar-efendi-kiralik/daire/162406-505","1 / 11","17.000","10/09/2026","Mustafa Başyiğit Emlak'tan Kiralık Daire Efendi Mahallesi","Kiralık Daire","2 + 1","85 m²","Sıfır Bina","1. Kat","Manisa / Akhisar / Efendi Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/4/9/5/7/2/7/4/6dafcf9e-7daf-4b6e-a92b-6766e6a9f2fd.jpg","Mustafa Başyiğit Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/0/4/2/6/1/7352a193-bcd7-438c-979c-0eaa727111e3.jpg"
"https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-kiralik/daire/166640-91","1 / 13","16.000","09/09/2026","Bütün Devlet Kurumlarına Yürüme Mesafesi 2+1 Sıfır Kiralık Daire","Kiralık Daire","2 + 1","70 m²","Sıfır Bina","Yüksek Giriş","Manisa / Saruhanlı / Cengiz Topel Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-selvilitepe-kiralik/daire/166851-97","1 / 9","26.000","09/09/2026","Çardak Evlerinde Eşyalı 1+1 Kiralık Daire","Kiralık Daire","1 + 1","60 m²","2 Yaşında","2. Kat","Manisa / Turgutlu / Selvilitepe Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Century 21 Elit Turgutlu","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/64671-867","1 / 18","14.000","08/09/2026","Fiyat Düştü! Öz Elit Emlak'tan Muradiye'de Kiralık 1+1 Ara Kat Daire 14.000 Tl.","Kiralık Daire","1 + 1","70 m²","6 Yaşında","4. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-kiralik/daire/90814-481","1 / 17","17.500","06/09/2026","Cengiz Topel Mahallesi Atatürk Caddesi Üzerinde Kiralık Daire","Kiralık Daire","2 + 1","85 m²","Sıfır Bina","3. Kat","Manisa / Saruhanlı / Cengiz Topel Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/159142-217","1 / 23","16.000","04/09/2026","Aras Yapı'dan Havuz Cepheli 1+1 Kiralık Daire","Kiralık Daire","1 + 1","50 m²","Sıfır Bina","2. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-akhisar-resat-bey-kiralik/daire/143974-473","1 / 27","16.000","05/09/2026","🏕🔥❗️manisa Akhisar Reşatbey Mah. ‼️pazarlık Payı Var Kiralık 2+1 Ara Kat Doğal Gazlı Daire!","Kiralık Daire","2 + 1","115 m²","5 Yaşında","Ara Kat","Manisa / Akhisar / Reşat Bey Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/150932-107","1 / 12","18.000","03/09/2026","Manisa Muradiye'de 2+1 Açık Mutfak Ara Kat Kiralık Daire","Kiralık Daire","2 + 1","85 m²","5 Yaşında","2. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ege Doğuş Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-ataturk-kiralik/daire/94137-1325","1 / 14","13.000","09/09/2026","Akhisar Atatürk Mahallesi'nde 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","30 Yaşında","2. Kat","Manisa / Akhisar / Atatürk Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/159142-212","1 / 20","17.000","03/09/2026","Aras Yapı'dan Muradiye'de Havuzlu Site İçi Kiralık Daire","Kiralık Daire","1 + 1","60 m²","Sıfır Bina","3. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-mutlu-kiralik/daire/164179-146","1 / 19","16.500","09/09/2026","Mutlu Mahallesi Kiralık 2+1 Daire","Kiralık Daire","2 + 1","90 m²","21 Yaşında","5. Kat","Manisa / Yunusemre / Mutlu Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sel Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-saruhanli-kurtulus-kiralik/daire/90814-482","1 / 16","16.000","03/09/2026","Kurtuluş Mahallesi Atatürk Caddesi Üzerinde Kiralık Açık Mutfaklı 2+1 Daire","Kiralık Daire","2 + 1","120 m²","7 Yaşında","2. Kat","Manisa / Saruhanlı / Kurtuluş Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-uncubozkoy-kiralik/daire/94966-886","1 / 12","43.000","09/09/2026","Manisa Cbü Tıp Fakültesi'ne 200 M Yürüme Mesafesinde 2+1 Daire","Kiralık Daire","2 + 1","85 m²","6 Yaşında","2. Kat","Manisa / Yunusemre / Uncubozköy Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-alasehir-fatih-kiralik/daire/155862-78","1 / 18","20.000","09/09/2026","Garanti Emlaktan Kiralık 2+1 Açık Mutfak","Kiralık Daire","2 + 1","110 m²","6 Yaşında","4. Kat","Manisa / Alaşehir / Fatih Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
