"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","wp-btn-label","he-lazy-image src 2"
"https://www.hepsiemlak.com/denizli-pamukkale-feslegen-kiralik/daire/165637-65","1 / 10","14.250","10/09/2026","Çınar'a Yakın Cadde Üzeri Kiralık 1+1 Arakat Klimalı Apart","Kiralık Daire","1 + 1","55 m²","7 Yaşında","Ara Kat","Denizli / Pamukkale / Fesleğen Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/6/5/6/1/94aa593d-3cc2-41bd-a083-49d4d5f9102c.jpg","Nestway Office İnşaat Emlak Galeri","WhatsApp",""
"https://www.hepsiemlak.com/denizli-merkezefendi-karaman-kiralik/daire/120473-377","1 / 34","25.500","10/09/2026","Kiremitçi Mahallesi Su Deposu Karşısı 1.Arakat *açık Mutfak 3+1*","Kiralık Daire","3 + 1","140 m²","11 Yaşında","1. Kat","Denizli / Merkezefendi / Karaman Mah.","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Luin Zera Gayrimenkul","WhatsApp",""
"https://www.hepsiemlak.com/denizli-pamukkale-asmalievler-kiralik/daire/150342-44","1 / 17","15.000","10/09/2026","Asmalıevler Mahallesi Kiralık 1+1 Full Eşyalı Apart","Kiralık Daire","1 + 1","50 m²","8 Yaşında","Ara Kat","Denizli / Pamukkale / Asmalıevler Mah.","","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-pamukkale-mehmetcik-kiralik/daire/152590-37","1 / 28","25.000","10/09/2026","Yükseller'den Mehmetçik'te 2+1 Full Eşyalı Balkonlu Daire","Kiralık Daire","2 + 1","80 m²","6 Yaşında","3. Kat","Denizli / Pamukkale / Mehmetçik Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/5/2/6/2/7/4/c9b679da-09ef-458e-b638-4db416d1e07a.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-merkezefendi-selcuk-bey-kiralik/daire/151247-99","1 / 18","20.000","10/09/2026","Albayrak Meydanı Üstünde Kiralık Daire","Kiralık Daire","3 + 1","160 m²","18 Yaşında","Yüksek Giriş","Denizli / Merkezefendi / Selçuk Bey Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/2/9/6/0/7/4/dfd2d397-d189-46c7-ae09-38f775186cfe.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-pamukkale-mehmetcik-kiralik/daire/113603-249","1 / 27","31.000","10/09/2026","Mehmetçik Forum'a Ve Jandarma'ya Yakın Balkonlu Asansörlü 3+1 Kiralık Daire","Kiralık Daire","3 + 1","170 m²","30 Yaşında","4. Kat","Denizli / Pamukkale / Mehmetçik Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-merkezefendi-kayalar-kiralik/daire/134013-267","1 / 34","30.000","10/09/2026","Sinpaş Aquacityde Kiralık 2,5+1 Ara Kat Konfor Ve Sessizlik","Kiralık Daire","2 + 1","120 m²","6 Yaşında","4. Kat","Denizli / Merkezefendi / Kayalar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-pamukkale-siteler-kiralik/daire/152590-18","1 / 31","32.500","10/09/2026","Ulus Caddesinde 2+1 Lüks Eşyalı Amerikan Mutfak Soft Daire","Kiralık Daire","2 + 1","90 m²","5 Yaşında","3. Kat","Denizli / Pamukkale / Siteler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-merkezefendi-adalet-kiralik/daire/92159-120","1 / 14","32.000","10/09/2026","Adalet Mahallesi Sgk Karşısı 160m2 3+1 Kiralık Daire İlan Görselleri Videolu","Kiralık Daire","3 + 1","170 m²","20 Yaşında","Ara Kat","Denizli / Merkezefendi / Adalet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/denizli-pamukkale-15-mayis-kiralik/daire/128169-669","1 / 12","21.000","10/09/2026","Gülceden, Çınara Yürüme Mesafesinde, Eşyalı,Kiralık 2+1 Apart","Kiralık Daire","2 + 1","65 m²","16 Yaşında","2. Kat","Denizli / Pamukkale / 15 Mayıs Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Gülce Emlak","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
