"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-karaman-kiralik/daire/124135-89","1 / 31","45.000","04/09/2026","Afyon Merkez Karaman Mh. Dubleks 5+1 Asansörlü","Kiralık Daire","5 + 1","270 m²","6 Yaşında","6. Kat","Afyonkarahisar / Merkez / Karaman Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/116282-1479","1 / 22","19.000","10/09/2026","Afyon Merkez Cumhuriyet Mah. 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","20 Yaşında","1. Kat","Afyonkarahisar / Merkez / Cumhuriyet Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-kocatepe-kiralik/daire/0-47274251","1 / 25","20.000","09/09/2026","Sahibinden Kiralık Ev","Kiralık Daire","3 + 1","120 m²","18 Yaşında","En Üst Kat","Afyonkarahisar / Merkez / Kocatepe Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/149466-237","1 / 40","38.000","10/09/2026","Sağlam Emlaktan Afyonkarahisar Merkez Fatihte Kiralık Lüks 5+1dubleks Daire","Kiralık Daire","5 + 1","220 m²","6 Yaşında","4. Kat","Afyonkarahisar / Merkez / Fatih Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/4/8/6/2/7/4/1d5f5452-0d08-4aaa-aade-ac85f09ace30.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/143765-770","1 / 15","25.000","04/09/2026","Nokta Emlak'tan Fatih Mh. 3+1 Kiralık Daire","Kiralık Daire","3 + 1","120 m²","Sıfır Bina","2. Kat","Afyonkarahisar / Merkez / Fatih Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/141794-1","1 / 12","12.500","07/09/2026","Erenler Sevgi Yolunda Kiralık Geniş 2+0 Apart","Kiralık Daire","2 + 1","50 m²","8 Yaşında","4. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erkmen-cumhuriyet-kiralik/daire/149466-236","1 / 28","29.000","10/09/2026","Sağlam Emlaktan Afyonkarahisar Erkmende Kiralık Geniş Dubleks 2+1 Daire","Kiralık Daire","2 + 1","105 m²","Sıfır Bina","2. Kat","Afyonkarahisar / Merkez / Erkmen (Cumhuriyet) Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esentepe-kiralik/daire/143765-768","1 / 24","23.000","04/09/2026","Nokta Emlak'tan Esentepe Mh. 3+1 Kiralık Daire","Kiralık Daire","3 + 1","140 m²","28 Yaşında","Ara Kat","Afyonkarahisar / Merkez / Esentepe Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-nazmi-saatci-kiralik/daire/87840-3452","1 / 18","18.000","09/09/2026","Afyon Öztürk Emlaktan Harbiş Nazmi Saatçi'de 3+1 Kiralık Daire","Kiralık Daire","3 + 1","110 m²","15 Yaşında","1. Kat","Afyonkarahisar / Merkez / Nazmi Saatçi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-sahipata-kiralik/daire/143765-767","1 / 24","27.000","04/09/2026","Nokta Emlak'tan Sahipata Mh Ankara Yolu Üzerinde  3+1 Kiralık Daire","Kiralık Daire","3 + 1","125 m²","10 Yaşında","5. Kat","Afyonkarahisar / Merkez / Sahipata Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
