"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","he-lazy-image src 2"
"https://www.hepsiemlak.com/kutahya-merkez-zafertepe-kiralik/daire/130551-1899","1 / 33","39.500","10/09/2026","Zafertepe Mahallesi Simkent Sitesinde Kiralık 4+1 Lüks Daire","Kiralık Daire","4 + 1","165 m²","11 Yaşında","1. Kat","Kütahya / Merkez / Zafertepe Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/5/5/0/3/1/d0f2e542-a676-416f-b94d-2b30bbf5f5bf.jpg","Coldwell Banker Çizgi",""
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/137832-823","1 / 19","12.500","10/09/2026","Kütahya Serra Gayrimenkul 'dan Kiralık 1+1 Daire","Kiralık Daire","1 + 1","55 m²","6 Yaşında","2. Kat","Kütahya / Merkez / Meydan Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/4/1/6/8/7/3/8cf2a338-a190-4c51-8174-831732aa7374.jpg","Kütahya Serra Gayrimenkul",""
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/137832-838","1 / 21","13.000","09/09/2026","Kütahya Meydan Mahallesinde Eşyalı Kiralık 1+1 Daire","Kiralık Daire","1 + 1","55 m²","5 Yaşında","3. Kat","Kütahya / Merkez / Meydan Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/4/1/6/8/7/3/8cf2a338-a190-4c51-8174-831732aa7374.jpg","Kütahya Serra Gayrimenkul",""
"https://www.hepsiemlak.com/kutahya-merkez-fuatpasa-kiralik/daire/137832-793","1 / 11","15.000","09/09/2026","Kütahya Fuatpaşa Mahallesi Kiralık 1+1 Eşyalı Dubleks Daire","Kiralık Daire","1 + 1","60 m²","6 Yaşında","3. Kat","Kütahya / Merkez / Fuatpaşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/0/2/4/7/6/4/21074dcf-eed3-4618-a35f-64cad465de90.jpg","Kütahya Serra Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/4/1/6/8/7/3/8cf2a338-a190-4c51-8174-831732aa7374.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-akkent-kiralik/daire/150267-141","1 / 26","27.000","09/09/2026","Mars'tan Toki'de -Kombili- Önü Açık Bakımlı Kiralık 3+1 Daire","Kiralık Daire","3 + 1","155 m²","15 Yaşında","6. Kat","Kütahya / Merkez / Akkent Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-30-agustos-kiralik/daire/0-47267563","1 / 17","15.000","08/09/2026","Sahibinden 1+1 Full Eşyalı Daire","Kiralık Daire","1 + 1","55 m²","10 Yaşında","Giriş Katı","Kütahya / Merkez / 30 Ağustos Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-kirazpinar-kiralik/daire/170667-82","1 / 21","15.500","08/09/2026","Kirazpınar'da Kiralık 1+1 Eşyalı Daire","Kiralık Daire","1 + 1","60 m²","6 Yaşında","2. Kat","Kütahya / Merkez / Kirazpınar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-servi-kiralik/daire/129236-440","1 / 42","17.000","06/09/2026","Kütahya Merkez Çarşı Merkezi Konumda Menderes Caddesi Servi Mahallesi Kiralık 3+1 Daire","Kiralık Daire","3 + 1","110 m²","42 Yaşında","En Üst Kat","Kütahya / Merkez / Servi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-gaybiefendi-kiralik/daire/170667-81","1 / 20","18.500","04/09/2026","Belediye Binası Yanında 2+1 Daire","Kiralık Daire","2 + 1","120 m²","20 Yaşında","En Üst Kat","Kütahya / Merkez / Gaybiefendi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-akkent-kiralik/daire/150267-129","1 / 31","26.000","06/09/2026","Mars'tan Sera Avm Arkasında Geniş Ve Ferah Sıfır 3+1 Kiralık Daire","Kiralık Daire","3 + 1","140 m²","Sıfır Bina","2. Kat","Kütahya / Merkez / Akkent Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-zafertepe-kiralik/daire/137832-851","1 / 29","20.000","08/09/2026","🏡 **zafertepe Mahallesi Selçuklu Caddesi’nde Kiralık 3+1 Daire!**","Kiralık Daire","3 + 1","135 m²","10 Yaşında","2. Kat","Kütahya / Merkez / Zafertepe Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kütahya Serra Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-100-yil-kiralik/daire/151202-2067","1 / 34","14.000","05/09/2026","Sayman'dan 100.Yıl Mh'de Yenilenmiş, Masrafsız 2+1 Kiralık Daire","Kiralık Daire","2 + 1","90 m²","31 Yaşında","4. Kat","Kütahya / Merkez / 100. Yıl Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sayman Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-akkent-kiralik/daire/137832-849","1 / 35","15.000","07/09/2026","Akkent Mahallesi Toki 627 Konutları’nda Kiralık 2+1 Daire!","Kiralık Daire","2 + 1","102 m²","5 Yaşında","3. Kat","Kütahya / Merkez / Akkent Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kütahya Serra Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-fuatpasa-kiralik/daire/73389-2948","1 / 29","12.000","03/09/2026","Sahibinden Eşyalı Kiralık 1+1 Daire.","Kiralık Daire","1 + 1","60 m²","11 Yaşında","3. Kat","Kütahya / Merkez / Fuatpaşa Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-dumlupinar-kiralik/daire/151202-2066","1 / 35","18.000","05/09/2026","Sayman Emlak'tan Sporkentte 3+1 Kiralık Daire","Kiralık Daire","3 + 1","145 m²","16 Yaşında","1. Kat","Kütahya / Merkez / Dumlupınar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sayman Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-dumlupinar-kiralik/daire/137832-840","1 / 26","10.000","09/09/2026","Dumlupınar Mahallesinde Germiyan Kampüsü Yanında 2+0 Kiralık Da","Kiralık Daire","2 + 0","75 m²","6 Yaşında","4. Kat","Kütahya / Merkez / Dumlupınar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kütahya Serra Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
